<X>, <Y>, <dY>
2.120677610000000e-04, 1.353874530000000e+05, 2.473507230000000e+02
2.271095760000000e-04, 1.311168280000000e+05, 1.601304320000000e+02
2.421513670000000e-04, 1.223287030000000e+05, 1.292848210000000e+02
2.571931570000000e-04, 1.145365230000000e+05, 1.113984380000000e+02
2.722349720000000e-04, 1.080050470000000e+05, 9.906285860000000e+01
2.872767630000000e-04, 1.020192970000000e+05, 8.973900600000000e+01
3.023185530000000e-04, 9.509775000000000e+04, 8.156530760000000e+01
3.173603680000000e-04, 8.887511719999999e+04, 7.485081479999999e+01
3.324021590000000e-04, 8.338316409999999e+04, 6.893395230000000e+01
3.474439490000000e-04, 7.792060940000000e+04, 6.403630070000000e+01
3.624857640000000e-04, 7.218280469999999e+04, 5.935115430000000e+01
3.775275550000001e-04, 6.713757810000000e+04, 5.519243620000000e+01
3.925693690000000e-04, 6.228807420000000e+04, 5.144527820000000e+01
4.076111600000000e-04, 5.769660550000000e+04, 4.786523440000000e+01
4.226529510000000e-04, 5.323866020000000e+04, 4.472603610000000e+01
4.376947410000000e-04, 4.909664840000000e+04, 4.188014600000000e+01
4.527365790000000e-04, 4.533586330000000e+04, 3.923958970000000e+01
4.677783700000001e-04, 4.165672270000000e+04, 3.676245880000000e+01
4.828201610000000e-04, 3.813427340000000e+04, 3.431357960000000e+01
4.978619520000000e-04, 3.486960160000000e+04, 3.211873250000000e+01
5.129037420000001e-04, 3.187997460000000e+04, 3.004887010000000e+01
5.279455330000001e-04, 2.911489650000000e+04, 2.810853960000000e+01
5.429873710000000e-04, 2.640678910000000e+04, 2.626646420000000e+01
5.580291620000000e-04, 2.399016990000000e+04, 2.455073550000000e+01
5.730709530000001e-04, 2.179838480000000e+04, 2.303511810000000e+01
5.881127440000001e-04, 1.977271480000000e+04, 2.157167820000000e+01
6.031545340000000e-04, 1.785118950000000e+04, 2.013868900000000e+01
6.181963720000000e-04, 1.615024020000000e+04, 1.873553470000000e+01
6.332381630000001e-04, 1.459523240000000e+04, 1.707045170000000e+01
6.482799540000000e-04, 1.317575590000000e+04, 1.573376370000000e+01
6.633217450000001e-04, 1.184705760000000e+04, 1.464515970000000e+01
6.783635360000000e-04, 1.061191990000000e+04, 1.369460960000000e+01
6.934053260000000e-04, 9.476033200000000e+03, 1.280021860000000e+01
7.084471640000001e-04, 8.447889649999999e+03, 1.194227890000000e+01
7.234889550000001e-04, 7.503441890000000e+03, 1.112601180000000e+01
