<X>, <Y>, <dY>
1.438729000000000e-03, 1.867317350000000e+02, 2.169350390000000e+00
1.453836730000000e-03, 1.770492710000000e+02, 2.107379440000000e+00
1.468944460000000e-03, 1.715449980000000e+02, 2.067892070000000e+00
1.484052180000000e-03, 1.676111300000000e+02, 2.035292630000000e+00
1.499159820000000e-03, 1.585314790000000e+02, 1.978656890000000e+00
1.514267550000000e-03, 1.487059630000000e+02, 1.905749680000000e+00
1.529375280000000e-03, 1.455798340000000e+02, 1.876394630000000e+00
1.544483010000000e-03, 1.426705930000000e+02, 1.851899030000000e+00
1.559590730000000e-03, 1.350822600000000e+02, 1.793992880000000e+00
1.574698460000000e-03, 1.296105800000000e+02, 1.763879660000000e+00
1.589806190000000e-03, 1.265470580000000e+02, 1.732246640000000e+00
1.604913920000000e-03, 1.216837080000000e+02, 1.690508370000000e+00
1.620021460000000e-03, 1.186890030000000e+02, 1.661619310000000e+00
1.635129190000000e-03, 1.131677170000000e+02, 1.622028830000000e+00
1.650236920000000e-03, 1.078538670000000e+02, 1.580497620000000e+00
1.665344650000000e-03, 1.056644740000000e+02, 1.554483890000000e+00
1.680452380000000e-03, 1.022742540000000e+02, 1.528447030000000e+00
1.695560110000000e-03, 9.979484560000000e+01, 1.504710080000000e+00
1.710667830000000e-03, 9.634257510000000e+01, 1.474231600000000e+00
1.725775560000000e-03, 9.461478420000000e+01, 1.457526210000000e+00
1.740883290000000e-03, 9.219285580000000e+01, 1.429558160000000e+00
1.755991020000000e-03, 9.116131590000001e+01, 1.418117640000000e+00
1.771098560000000e-03, 8.284715270000000e+01, 1.354185940000000e+00
1.786206290000000e-03, 8.214898680000000e+01, 1.349315640000000e+00
1.801314020000000e-03, 7.931333920000000e+01, 1.315278650000000e+00
1.816421750000000e-03, 7.928404240000000e+01, 1.312312130000000e+00
1.831529480000000e-03, 7.461670680000000e+01, 1.269494770000000e+00
1.846637200000000e-03, 7.222811129999999e+01, 1.245810150000000e+00
1.861744930000000e-03, 7.128704830000000e+01, 1.236929890000000e+00
1.876852660000000e-03, 6.830330660000000e+01, 1.224717140000000e+00
1.891960390000000e-03, 6.448448940000000e+01, 1.207540150000000e+00
1.907068120000000e-03, 6.219569780000000e+01, 1.191644310000000e+00
1.922175850000000e-03, 6.276133350000000e+01, 1.198253390000000e+00
1.937283390000000e-03, 6.082927700000000e+01, 1.184666510000000e+00
1.967498850000000e-03, 5.674514140000000e+01, 6.653550010000000e-01
