<X>, <Y>, <dY>
2.120677610000000e-04, 1.256657810000000e+05, 2.426973570000000e+02
2.271095760000000e-04, 1.252397660000000e+05, 1.589869230000000e+02
2.421513670000000e-04, 1.188884060000000e+05, 1.293115690000000e+02
2.571931570000000e-04, 1.120443670000000e+05, 1.116669850000000e+02
2.722349720000000e-04, 1.057591170000000e+05, 9.935239410000000e+01
2.872767630000000e-04, 9.944800780000001e+04, 8.978350829999999e+01
3.023185530000000e-04, 9.163298440000000e+04, 8.112217710000000e+01
3.173603680000000e-04, 8.453056250000000e+04, 7.399322510000000e+01
3.324021590000000e-04, 7.847150000000000e+04, 6.780680080000000e+01
3.474439490000000e-04, 7.276471880000000e+04, 6.276782990000000e+01
3.624857640000000e-04, 6.715511719999999e+04, 5.810504910000000e+01
3.775275550000001e-04, 6.180457420000000e+04, 5.371332550000000e+01
3.925693690000000e-04, 5.698755470000000e+04, 4.991772840000000e+01
4.076111600000000e-04, 5.225028120000000e+04, 4.619381710000000e+01
4.226529510000000e-04, 4.754203520000000e+04, 4.287165450000000e+01
4.376947410000000e-04, 4.308713280000000e+04, 3.978615950000000e+01
4.527365790000000e-04, 3.926822660000000e+04, 3.703969960000000e+01
4.677783700000001e-04, 3.579959770000000e+04, 3.458123400000000e+01
4.828201610000000e-04, 3.236345900000000e+04, 3.207402040000000e+01
4.978619520000000e-04, 2.910049020000000e+04, 2.977021790000000e+01
5.129037420000001e-04, 2.623320120000000e+04, 2.768893430000000e+01
5.279455330000001e-04, 2.354638480000000e+04, 2.566051480000000e+01
5.429873710000000e-04, 2.115281640000000e+04, 2.388374330000000e+01
5.580291620000000e-04, 1.892611910000000e+04, 2.215130810000000e+01
5.730709530000001e-04, 1.693020510000000e+04, 2.062565230000000e+01
5.881127440000001e-04, 1.507781840000000e+04, 1.913578800000000e+01
6.031545340000000e-04, 1.334559380000000e+04, 1.769947240000000e+01
6.181963720000000e-04, 1.179350100000000e+04, 1.628533550000000e+01
6.332381630000001e-04, 1.048887890000000e+04, 1.472754190000000e+01
6.482799540000000e-04, 9.308737300000001e+03, 1.346704010000000e+01
6.633217450000001e-04, 8.140811040000000e+03, 1.236231230000000e+01
6.783635360000000e-04, 7.156697750000000e+03, 1.146003720000000e+01
6.934053260000000e-04, 6.266715330000000e+03, 1.061113360000000e+01
7.084471640000001e-04, 5.476395020000000e+03, 9.808715820000000e+00
7.234889550000001e-04, 4.785479000000000e+03, 9.078365330000000e+00
7.385307460000000e-04, 4.153811520000000e+03, 8.363343240000001e+00
7.535725370000001e-04, 3.617229740000000e+03, 7.730187890000000e+00
7.686143280000000e-04, 3.159393550000000e+03, 7.169102670000000e+00
7.836561650000001e-04, 2.741850100000000e+03, 6.621841430000000e+00
7.986979560000000e-04, 2.389355470000000e+03, 6.138155460000000e+00
8.137397470000000e-04, 2.089720950000000e+03, 5.695310120000000e+00
8.287815380000001e-04, 1.847449950000000e+03, 5.316941260000000e+00
8.438233290000000e-04, 1.641890750000000e+03, 4.980232240000000e+00
8.588651200000001e-04, 1.465858890000000e+03, 4.672779080000000e+00
8.739069100000001e-04, 1.311154420000000e+03, 4.389583590000000e+00
8.889487010000001e-04, 1.200599730000000e+03, 4.169635770000000e+00
9.039905850000001e-04, 1.110596920000000e+03, 3.983562710000000e+00
9.190323760000001e-04, 1.038796260000000e+03, 3.825018410000000e+00
9.340741670000000e-04, 9.894526980000001e+02, 3.701777700000000e+00
9.491159580000000e-04, 9.446605830000000e+02, 3.589431760000000e+00
9.641577490000001e-04, 9.099990230000000e+02, 3.487332110000000e+00
9.791995400000001e-04, 8.920087890000000e+02, 3.421293260000000e+00
9.942413310000001e-04, 8.787581180000000e+02, 3.366065980000000e+00
1.009283120000000e-03, 8.767569580000001e+02, 3.330857750000000e+00
1.024324910000000e-03, 8.805822140000000e+02, 3.308538200000000e+00
1.039366700000000e-03, 8.791605220000000e+02, 3.274082660000000e+00
1.054408490000000e-03, 8.845667110000001e+02, 3.256446360000000e+00
1.069450380000000e-03, 8.856707760000000e+02, 3.225647690000000e+00
1.084492170000000e-03, 8.893684080000000e+02, 3.203503130000000e+00
1.099533960000000e-03, 8.892345580000000e+02, 3.175482990000000e+00
1.114575750000000e-03, 8.914492800000000e+02, 3.154472830000000e+00
1.129617540000000e-03, 8.877947390000000e+02, 3.124622580000000e+00
1.144659330000000e-03, 8.830939940000000e+02, 3.089705230000000e+00
1.159701120000000e-03, 8.776854860000000e+02, 3.056995630000000e+00
1.174742910000000e-03, 8.622781370000000e+02, 3.011023040000000e+00
1.189784710000000e-03, 8.433878170000000e+02, 2.951547860000000e+00
1.204826500000000e-03, 8.252753910000000e+02, 2.901155230000000e+00
1.219868290000000e-03, 8.090317380000000e+02, 2.855579610000000e+00
1.234910170000000e-03, 7.789777220000000e+02, 2.784835580000000e+00
1.249951960000000e-03, 7.493067630000000e+02, 2.717622520000000e+00
1.264993750000000e-03, 7.181148070000000e+02, 2.637897490000000e+00
1.280035540000000e-03, 6.891239620000000e+02, 2.572996140000000e+00
1.295077340000000e-03, 6.489520870000000e+02, 2.481534960000000e+00
1.310119130000000e-03, 6.134266970000000e+02, 2.399872300000000e+00
1.325160920000000e-03, 5.778370360000000e+02, 2.322474000000000e+00
1.340202710000000e-03, 5.401123050000000e+02, 2.232224940000000e+00
1.355244500000000e-03, 5.016917720000000e+02, 2.146005870000000e+00
1.370286290000000e-03, 4.616219480000000e+02, 2.047855140000000e+00
1.385328080000000e-03, 4.296152950000000e+02, 1.969910260000000e+00
1.400369960000000e-03, 3.924997560000000e+02, 1.876166340000000e+00
1.415411760000000e-03, 3.624821170000000e+02, 1.800502420000000e+00
1.430453550000000e-03, 3.249366460000000e+02, 1.699304220000000e+00
1.445495340000000e-03, 2.924820860000000e+02, 1.608586070000000e+00
1.460537130000000e-03, 2.676838680000000e+02, 1.539708020000000e+00
1.475578920000000e-03, 2.410484010000000e+02, 1.461025240000000e+00
1.490620710000000e-03, 2.137226720000000e+02, 1.374770520000000e+00
1.505662500000000e-03, 1.909847560000000e+02, 1.302834750000000e+00
1.520704290000000e-03, 1.702149350000000e+02, 1.233116150000000e+00
1.535746080000000e-03, 1.508998870000000e+02, 1.163825750000000e+00
1.550787870000000e-03, 1.357225650000000e+02, 1.107114790000000e+00
1.565829660000000e-03, 1.223178020000000e+02, 1.053513770000000e+00
1.580871460000000e-03, 1.091670460000000e+02, 9.994407890000000e-01
1.595913250000000e-03, 9.887213130000001e+01, 9.550350900000000e-01
1.610955040000000e-03, 9.044567870000000e+01, 9.172346000000000e-01
1.625996830000000e-03, 8.300400540000000e+01, 8.811731930000000e-01
1.641038620000000e-03, 8.007701110000001e+01, 8.630998730000000e-01
1.656080600000000e-03, 7.528798680000000e+01, 8.376590010000000e-01
1.671122390000000e-03, 7.186221310000001e+01, 8.173184390000000e-01
