<X>, <Y>, <dY>
9.942413310000001e-04, 6.515678710000000e+02, 2.948825600000000e+00
1.009283120000000e-03, 5.563613280000000e+02, 2.725118400000000e+00
1.024324910000000e-03, 4.797449950000000e+02, 2.535487890000000e+00
1.039366700000000e-03, 4.142978210000000e+02, 2.354901550000000e+00
1.054408490000000e-03, 3.637671200000000e+02, 2.209474330000000e+00
1.069450380000000e-03, 3.157152100000000e+02, 2.060027120000000e+00
1.084492170000000e-03, 2.770074460000000e+02, 1.933932900000000e+00
1.099533960000000e-03, 2.470863650000000e+02, 1.830376860000000e+00
1.114575750000000e-03, 2.272498470000000e+02, 1.754009960000000e+00
1.129617540000000e-03, 2.080749820000000e+02, 1.675421710000000e+00
1.144659330000000e-03, 1.918385620000000e+02, 1.606806640000000e+00
1.159701120000000e-03, 1.808733670000000e+02, 1.553270820000000e+00
1.174742910000000e-03, 1.758945160000000e+02, 1.525197510000000e+00
1.189784710000000e-03, 1.703998570000000e+02, 1.488450290000000e+00
1.204826500000000e-03, 1.663519130000000e+02, 1.458055380000000e+00
1.219868290000000e-03, 1.663435060000000e+02, 1.446523670000000e+00
1.234910170000000e-03, 1.610633390000000e+02, 1.413434740000000e+00
1.249951960000000e-03, 1.611714170000000e+02, 1.399231910000000e+00
1.264993750000000e-03, 1.629540710000000e+02, 1.393892170000000e+00
1.280035540000000e-03, 1.642031560000000e+02, 1.385041000000000e+00
1.295077340000000e-03, 1.623543700000000e+02, 1.362032650000000e+00
1.310119130000000e-03, 1.643458560000000e+02, 1.357515450000000e+00
1.325160920000000e-03, 1.634059140000000e+02, 1.343767400000000e+00
1.340202710000000e-03, 1.611539920000000e+02, 1.321046470000000e+00
1.355244500000000e-03, 1.569647830000000e+02, 1.298665880000000e+00
1.370286290000000e-03, 1.509164890000000e+02, 1.266016720000000e+00
1.385328080000000e-03, 1.496788020000000e+02, 1.252517700000000e+00
1.400369960000000e-03, 1.457519230000000e+02, 1.229055170000000e+00
1.415411760000000e-03, 1.413542180000000e+02, 1.206320290000000e+00
1.430453550000000e-03, 1.352439120000000e+02, 1.174198510000000e+00
1.445495340000000e-03, 1.290304720000000e+02, 1.141965630000000e+00
1.460537130000000e-03, 1.242690810000000e+02, 1.120732900000000e+00
1.475578920000000e-03, 1.171511080000000e+02, 1.086051110000000e+00
1.490620710000000e-03, 1.085405270000000e+02, 1.040438530000000e+00
1.505662500000000e-03, 1.035287780000000e+02, 1.017892480000000e+00
1.520704290000000e-03, 9.719430540000000e+01, 9.874538180000000e-01
1.535746080000000e-03, 9.052284240000000e+01, 9.543006420000000e-01
1.550787870000000e-03, 8.456304170000000e+01, 9.241105320000000e-01
1.565829660000000e-03, 7.898384860000000e+01, 8.943268660000000e-01
