<X>, <Y>, <dY>
1.092504590000000e-04, -1.810775000000000e+05, 2.434401370000000e+03
1.243581760000000e-04, 2.550000000000000e+04, 1.096136110000000e+03
1.394658820000000e-04, 8.606375000000000e+04, 6.815612790000000e+02
1.545735980000000e-04, 4.928834380000000e+04, 3.766067500000000e+02
1.696813040000000e-04, 3.834953120000000e+04, 2.470265350000000e+02
1.847890210000000e-04, 3.303314840000000e+04, 1.804340060000000e+02
1.998967260000000e-04, 2.930895310000000e+04, 1.411807100000000e+02
2.150044310000000e-04, 2.708080080000000e+04, 1.164225770000000e+02
2.301121600000000e-04, 2.418650390000000e+04, 9.803019710000000e+01
2.452198650000000e-04, 2.129862110000000e+04, 8.370109560000000e+01
2.603275700000000e-04, 1.903684770000000e+04, 7.297915650000000e+01
2.754352750000000e-04, 1.747548050000000e+04, 6.480088809999999e+01
2.905429810000000e-04, 1.548926070000000e+04, 5.582472990000000e+01
3.056507090000000e-04, 1.376459770000000e+04, 4.845407100000000e+01
3.207584140000001e-04, 1.249091210000000e+04, 4.267858120000000e+01
3.358661200000000e-04, 1.131927930000000e+04, 3.861990740000000e+01
3.509738250000000e-04, 1.026842480000000e+04, 3.558019260000000e+01
3.660815540000000e-04, 9.329988280000000e+03, 3.279905700000000e+01
3.811892590000000e-04, 8.530287109999999e+03, 3.039612770000000e+01
3.962969870000000e-04, 7.770938480000000e+03, 2.824770160000000e+01
4.114046690000001e-04, 7.043316890000000e+03, 2.624744420000000e+01
4.265123980000001e-04, 6.434459960000000e+03, 2.450469210000000e+01
4.416200800000000e-04, 6.022870120000000e+03, 2.317279620000000e+01
4.567278080000000e-04, 5.600443360000000e+03, 2.185485650000000e+01
4.718355370000000e-04, 5.217533200000000e+03, 2.066742710000000e+01
4.869432190000000e-04, 4.782819340000000e+03, 1.943363000000000e+01
5.020509470000000e-04, 4.415215330000000e+03, 1.834750940000000e+01
5.171586760000000e-04, 4.172432620000000e+03, 1.748850630000000e+01
5.322663580000001e-04, 3.908065430000000e+03, 1.660097120000000e+01
5.473740860000001e-04, 3.643170170000000e+03, 1.572640510000000e+01
5.624817680000000e-04, 3.426340330000000e+03, 1.497630410000000e+01
5.775894970000000e-04, 3.193688230000000e+03, 1.426120660000000e+01
5.926972260000001e-04, 2.967770750000000e+03, 1.355438420000000e+01
6.078049070000000e-04, 2.770459720000000e+03, 1.289267920000000e+01
6.229126360000000e-04, 2.622164550000000e+03, 1.234524350000000e+01
6.380203180000000e-04, 2.502055910000000e+03, 1.186778350000000e+01
6.531280470000000e-04, 2.349818360000000e+03, 1.133700370000000e+01
6.682357750000000e-04, 2.229160890000000e+03, 1.090099720000000e+01
6.833434570000000e-04, 2.116514160000000e+03, 1.050112630000000e+01
6.984511860000000e-04, 1.987778440000000e+03, 1.006118680000000e+01
7.135589140000000e-04, 1.855132810000000e+03, 9.604192729999999e+00
7.286665960000000e-04, 1.735258910000000e+03, 9.186634059999999e+00
7.437743250000000e-04, 1.650272950000000e+03, 8.857496260000000e+00
