<X>, <Y>, <dY>
6.682357750000000e-04, 6.853527830000000e+01, 4.691621300000000e+00
6.833434570000000e-04, 6.441262820000000e+01, 4.473551270000000e+00
6.984511860000000e-04, 4.698675540000000e+01, 4.183121200000000e+00
7.135589140000000e-04, 5.420166020000000e+01, 4.069314960000000e+00
7.286665960000000e-04, 4.445947270000000e+01, 3.844493150000000e+00
7.437743250000000e-04, 4.574053960000000e+01, 3.714059590000000e+00
7.588820070000001e-04, 4.172169490000000e+01, 3.557813170000000e+00
7.739897350000001e-04, 4.162747190000000e+01, 3.408611300000000e+00
7.890974170000001e-04, 3.714613340000000e+01, 3.261583330000000e+00
8.042051460000000e-04, 3.372549440000000e+01, 3.139818190000000e+00
8.193128740000000e-04, 3.327420040000000e+01, 3.016964440000000e+00
8.344206030000001e-04, 3.212757870000000e+01, 2.909650560000000e+00
8.495283310000001e-04, 2.577297970000000e+01, 2.780186410000000e+00
8.646359669999999e-04, 2.083979800000000e+01, 2.660658600000000e+00
8.797436949999999e-04, 2.736434940000000e+01, 2.617134330000000e+00
8.948514240000000e-04, 2.921820830000000e+01, 2.530772690000000e+00
9.099591520000000e-04, 2.883470150000000e+01, 2.456570860000000e+00
9.250668809999999e-04, 2.990062710000000e+01, 2.406452420000000e+00
9.401745160000001e-04, 2.359515380000000e+01, 2.296679500000000e+00
9.552822450000000e-04, 2.240419010000000e+01, 2.225676300000000e+00
9.703899730000000e-04, 2.601099400000000e+01, 2.178130150000000e+00
9.854977020000001e-04, 2.647634120000000e+01, 2.126744510000000e+00
1.000605430000000e-03, 2.356602480000000e+01, 2.073654650000000e+00
1.015713070000000e-03, 2.050910950000000e+01, 1.990090850000000e+00
1.030820790000000e-03, 2.090781400000000e+01, 1.941143510000000e+00
1.045928520000000e-03, 1.986662290000000e+01, 1.881511930000000e+00
1.061036250000000e-03, 2.171370700000000e+01, 1.838330510000000e+00
1.076143980000000e-03, 2.088540650000000e+01, 1.774437670000000e+00
1.091251710000000e-03, 1.999868770000000e+01, 1.733994600000000e+00
1.106359340000000e-03, 1.904906080000000e+01, 1.685403820000000e+00
1.121467070000000e-03, 1.914779660000000e+01, 1.647985460000000e+00
1.136574800000000e-03, 1.834542850000000e+01, 1.604289050000000e+00
1.151682530000000e-03, 1.515059280000000e+01, 1.537638430000000e+00
1.166790260000000e-03, 1.821833040000000e+01, 1.537662980000000e+00
1.181897890000000e-03, 1.554169080000000e+01, 1.475764390000000e+00
1.197005620000000e-03, 1.501673510000000e+01, 1.452196120000000e+00
1.212113350000000e-03, 1.389511490000000e+01, 1.410341740000000e+00
