q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18637_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18637_ave.h5_00001_[AN_3_30_37_PRM_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.00010925045900000001	-967556.5	1980.25464
0.000124358176	-69119.75	1069.71204
0.000139465882	-11062.875	632.448853
0.00015457359800000002	54783.625	383.70459
0.000169681304	12062.9844	229.550598
0.000184789021	-509.210938	152.752289
0.00019989672600000002	-3577.42578	109.806808
0.000215004431	-3869.90625	83.3640747
0.00023011216	-3291.27148	66.0587921
0.00024521986500000004	-2498.375	53.8053093
0.00026032757000000003	-1916.56934	44.7302551
0.000275435275	-1500.30078	37.92556
0.000290542981	-1461.42432	31.5009365
0.000305650709	-1184.24023	26.4632568
0.00032075841400000006	-1035.1377	22.4464874
0.00033586612	-893.858154	19.6439247
0.00035097382500000004	-789.244385	17.5378609
0.00036608155400000004	-641.316406	15.7702103
0.00038118925900000003	-533.265381	14.2135859
0.00039629698700000004	-458.34082	12.9339943
0.00041140466900000007	-393.348877	11.8737116
0.0004265123980000001	-355.227783	10.9077263
0.00044162008	-326.362671	10.050149
0.000456727808	-291.689941	9.32384109
0.000471835537	-261.339172	8.60737991
0.00048694321900000004	-239.300232	8.07190037
0.000502050947	-225.028564	7.56150103
0.000517158676	-176.202881	7.18762255
0.0005322663580000001	-156.566223	6.68456841
0.0005473740860000001	-141.678711	6.22122908
0.000562481768	-132.634705	5.75568104
0.000577589497	-128.438324	5.41314459
0.0005926972260000001	-119.520508	5.11099863
0.000607804907	-104.568054	4.82444477
0.000622912636	-89.3835449	4.59127235
0.000638020318	-82.3473816	4.30128956
0.000653128047	-78.96698	4.06186676
0.000668235775	-69.839325	3.89116764
0.000683343457	-63.837204	3.70702028
0.000698451186	-66.3044891	3.48330212
0.000713558914	-59.1598053	3.35022593
0.000728666596	-54.0354156	3.21627665
0.000743774325	-47.4246216	3.09861469
0.0007588820070000001	-45.9800873	2.96808338
0.0007739897350000001	-42.0661163	2.85027695
0.0007890974170000001	-47.1916962	2.66828132
0.000804205146	-39.6108856	2.61056685
0.000819312874	-36.6448212	2.49885321
0.0008344206030000001	-31.4826202	2.43258691
0.0008495283310000001	-31.8873444	2.34099793
0.0008646359669999999	-31.4193802	2.2631669
0.0008797436949999999	-27.2208099	2.1917429
0.000894851424	-29.2142715	2.06001902
0.000909959152	-25.4179001	2.02426052
0.0009250668809999999	-23.3920593	1.97048569
0.0009401745160000001	-24.6645813	1.88604236
0.000955282245	-18.4890823	1.88451779
0.000970389973	-18.4113235	1.80060816
0.0009854977020000001	-21.9653778	1.70903075
0.00100060543	-22.7729797	1.66845357
0.00101571307	-21.3020935	1.61283243
0.00103082079	-17.6985321	1.59240055
0.00104592852	-17.768898	1.53334904
0.00106103625	-14.3485756	1.50492561
0.00107614398	-13.1305237	1.45946109
0.00109125171	-13.4160233	1.41841042
0.00110635934	-13.5915718	1.36979663
0.00112146707	-12.1767006	1.3408519
0.0011365748	-10.6632919	1.31795335
0.00115168253	-10.9942093	1.27365601
0.00116679026	-10.4547081	1.2388171
0.0011818978900000002	-11.8849487	1.1906755
0.0011970056200000002	-10.6030922	1.18402672
0.0012121133500000002	-10.8359566	1.14349437
0.0012272210800000002	-9.17963409	1.1406517
0.0012423288100000002	-8.2528038	1.11527383
0.00125743644	-8.1749649	1.08415103
0.00127254417	-8.63072205	1.05165982
0.0012876519	-7.17433167	1.04267764
0.00130275963	-7.88608551	1.01193297
