q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18592_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18592_ave.h5_00001_[AN_3_30_36_RXN_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.00010925045900000001	-675641.625	2190.62817
0.000124358176	-41614.75	1071.8877
0.000139465882	113939.5	685.88855
0.00015457359800000002	80802.6562	393.045929
0.000169681304	51538.7344	254.964279
0.000184789021	42389.4219	186.893158
0.00019989672600000002	35943.2656	146.337692
0.000215004431	32195.7812	120.787628
0.00023011216	29008.2109	102.616486
0.00024521986500000004	25630.1016	88.0930862
0.00026032757000000003	23035.1055	77.2341309
0.000275435275	20733.1797	68.5239563
0.000290542981	17849.4688	58.5142288
0.000305650709	15858.3027	50.8844223
0.00032075841400000006	14593.6289	45.0928345
0.00033586612	13627.7051	41.3517036
0.00035097382500000004	12258.6562	38.0116005
0.00036608155400000004	11030.1387	34.9938354
0.00038118925900000003	10039.2168	32.3891029
0.00039629698700000004	9250.15137	30.3181114
0.00041140466900000007	8167.67627	27.8644524
0.0004265123980000001	7276.7876	25.7829323
0.00044162008	6548.20703	23.9618778
0.000456727808	6130.78223	22.7471313
0.000471835537	5610.41895	21.308012
0.00048694321900000004	5241.31934	20.2069969
0.000502050947	4971.79102	19.3474827
0.000517158676	4572.62793	18.2198467
0.0005322663580000001	4208.24854	17.1585827
0.0005473740860000001	3903.25854	16.2322445
0.000562481768	3645.86475	15.4019938
0.000577589497	3423.21021	14.7184362
0.0005926972260000001	3225.51099	14.0904646
0.000607804907	3020.98682	13.4085703
0.000622912636	2820.32666	12.7647057
0.000638020318	2675.50122	12.2544355
0.000653128047	2519.56494	11.722868
0.000668235775	2376.31934	11.2663107
0.000683343457	2190.90479	10.6820269
0.000698451186	2043.84387	10.1884127
0.000713558914	1932.9563	9.80018806
0.000728666596	1837.81543	9.46034527
0.000743774325	1717.13403	9.02574921
0.0007588820070000001	1640.10242	8.74071312
0.0007739897350000001	1527.78247	8.33381844
0.0007890974170000001	1443.1582	8.02935028
0.000804205146	1354.88452	7.70254421
0.000819312874	1290.55017	7.43821192
0.0008344206030000001	1223.31812	7.1674962
0.0008495283310000001	1170.87793	6.96306276
0.0008646359669999999	1097.57483	6.6794529
0.0008797436949999999	1040.06226	6.44580841
0.000894851424	978.295593	6.19315815
0.000909959152	931.727051	5.99980402
0.0009250668809999999	876.762939	5.77233315
0.0009401745160000001	834.051331	5.59101725
0.000955282245	804.231689	5.44120979
0.000970389973	765.215271	5.26042271
0.0009854977020000001	713.260376	5.04639959
0.00100060543	677.61792	4.89669609
0.00101571307	648.877747	4.75194597
0.00103082079	624.09436	4.62609386
0.00104592852	591.984436	4.47725201
0.00106103625	558.444397	4.31607723
0.00107614398	535.048279	4.19103765
0.00109125171	505.94342	4.04420137
0.00110635934	487.987152	3.95620346
0.00112146707	457.339172	3.79613757
0.0011365748	440.014648	3.7012639
0.00115168253	414.92041	3.56717515
0.00116679026	401.810272	3.49866176
0.0011818978900000002	376.814484	3.36889315
0.0011970056200000002	365.110199	3.29932666
0.0012121133500000002	350.160339	3.21029544
0.0012272210800000002	330.559448	3.10031652
0.0012423288100000002	324.687683	3.05188179
0.00125743644	309.522919	2.96559477
0.00127254417	292.970215	2.87974024
0.0012876519	276.173889	2.7767086
0.00130275963	270.997742	2.73487091
0.00131786736	260.057556	2.66679835
0.0013329749900000002	240.235886	2.55271506
0.0013480827200000002	231.334503	2.49762273
0.0013631904500000002	222.612823	2.43297648
0.0013782981800000002	216.709946	2.39225078
0.0013934059100000002	209.208984	2.3336792
0.0014085136400000002	201.645126	2.28210282
0.0014236212700000001	191.386917	2.22005367
0.0014387290000000001	184.49408	2.16333079
0.0014538367300000001	181.822006	2.1397171
0.0014689444600000001	172.309311	2.07240081
0.00148405218	167.728806	2.03941226
0.00149915982	159.005264	1.98161554
0.00151426755	154.04216	1.94520807
0.00152937528	148.852219	1.90165246
0.00154448301	142.596436	1.85447609
0.0015595907300000001	137.70929	1.81591451
0.0015746984600000001	131.555573	1.77805519
0.0015898061900000001	126.790985	1.73597825
0.0016049139200000001	121.096367	1.69250655
0.00162002146	120.125069	1.67757344
0.00163512919	115.198753	1.63434172
0.00165023692	111.546539	1.61035204
0.00166534465	105.62825	1.55811787
0.00168045238	101.727028	1.5294466
0.00169556011	101.164474	1.51710999
0.00171066783	100.145554	1.50247574
0.00172577556	94.8605652	1.46061814
0.00174088329	90.5648041	1.42726505
0.00175599102	88.5183334	1.40358973
0.00177109856	85.2080002	1.37906158
0.00178620629	81.6633453	1.34455848
0.00180131402	83.5272369	1.35215449
0.00181642175	78.7613373	1.3118155
0.00183152948	73.8463669	1.27276194
0.0018466372000000002	72.154007	1.25337768
0.0018617449300000002	71.1550674	1.23896694
0.0018768526600000002	70.1783371	1.23892426
0.0018919603900000002	66.5238953	1.2236563
0.0019070681200000002	64.8557281	1.21320307
0.0019221758500000002	65.3829346	1.2182976
0.00193728339	64.2697983	1.21700907
0.0019674988500000003	58.4015337	0.672973874
0.00201282203	54.764061	0.65580944
0.00205814522	49.3801218	0.620227619
0.0021034682200000003	45.432874	0.583782353
0.0021487914000000003	42.6520042	0.559957903
0.0021941145900000003	39.7820511	0.534827144
0.00223943777	37.107076	0.514792568
0.0022847607700000002	34.9687169	0.49773633
0.0023300839600000002	32.6702614	0.477417233
0.0023754071400000003	29.9110508	0.458245956
