<X>, <Y>
5.623564870000000e-03, 1.270145654678345e+00
5.759534240000000e-03, 1.163792133331299e+00
5.895503610000000e-03, 1.069228053092957e+00
6.031472980000001e-03, 9.847307801246643e-01
6.167442350000000e-03, 9.086648225784302e-01
6.303411720000001e-03, 8.398390412330627e-01
6.439381090000001e-03, 7.773462533950806e-01
6.590458750000000e-03, 7.145248055458069e-01
6.756643210000001e-03, 6.525779962539673e-01
6.922828410000000e-03, 5.974881649017334e-01
7.089012860000000e-03, 5.486313104629517e-01
7.255197320000000e-03, 5.054596066474915e-01
7.421382520000000e-03, 4.673632979393005e-01
7.587566970000000e-03, 4.337462186813354e-01
7.753752170000000e-03, 4.039543867111206e-01
7.935044909999999e-03, 3.751174807548523e-01
8.131445200000000e-03, 3.474228978157043e-01
8.327845480000000e-03, 3.227123618125916e-01
8.524245020000000e-03, 3.005291819572449e-01
8.720645310000000e-03, 2.805420160293579e-01
8.917045590000000e-03, 2.625770270824432e-01
9.113445879999999e-03, 2.465363144874573e-01
9.324953710000000e-03, 2.312467843294144e-01
9.551569820000001e-03, 2.169328629970551e-01
9.778185190000000e-03, 2.044531404972076e-01
1.000480130000000e-02, 1.934562325477600e-01
1.023141670000000e-02, 1.836361289024353e-01
