q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBacetic38ACNphcn90C_eiger2_12111_sub.dat_00001_[sub(TAPBacetic38ACNphcn90C_eiger2_12111_ave.h5_00001_[AN_3_30_29_RXN_90C]-TAPBacetic38ACNphcn90C_eiger2_11907_av_ave.h5_00001_[AN_3_30_29_PRM_90C])],1,0.0050)	error
0.000212067761	152460.875	261.592255
0.000227109576	136611.891	163.476334
0.00024215136700000002	126392.68	131.826019
0.000257193157	117703.617	113.288834
0.000272234972	109638.906	100.078667
0.00028727676300000003	103062.164	90.3522949
0.000302318553	96782.5703	82.453186
0.00031736036800000003	90567.4922	75.7257538
0.00033240215900000005	84344.9531	69.4854736
0.000347443949	78678.5938	64.5131378
0.00036248576400000005	72823.75	59.780941
0.00037752755500000006	67347.625	55.4206161
0.000392569369	62199.8672	51.5178986
0.00040761116	57708.7461	47.9784966
0.000422652951	53343.8555	44.8823853
0.00043769474100000005	48964.8633	41.9124832
0.000452736579	44931.2773	39.1415062
0.00046777837000000006	41226.0391	36.6563225
0.000482820161	37630.0703	34.1644402
0.000497861952	34244.543	31.910265
0.0005129037420000001	31189.6016	29.7936344
0.0005279455330000001	28361.5449	27.8098106
0.000542987371	25653.4141	25.9585896
0.000558029162	23268.0039	24.2402077
0.0005730709530000001	20999.0605	22.6623802
0.0005881127440000001	18945.1621	21.1731911
0.000603154534	16990.8242	19.6940441
0.000618196372	15296.4775	18.2842655
0.000633238163	13767.834	16.6273346
0.000648279954	12354.96	15.2776899
0.0006633217450000001	11017.9814	14.162303
0.000678363536	9784.22949	13.1849852
0.000693405326	8674.39648	12.2914257
0.0007084471640000001	7643.87939	11.3978729
0.0007234889550000001	6774.66309	10.6167746
0.000738530746	5963.61963	9.84022522
0.0007535725370000001	5234.72803	9.12588978
0.000768614328	4591.65332	8.47170162
0.0007836561650000001	4002.96509	7.83651447
0.000798697956	3468.55957	7.24213743
0.000813739747	3001.94849	6.67916489
0.0008287815380000001	2610.22998	6.17856836
0.000843823329	2257.92285	5.71514368
0.0008588651200000001	1943.30286	5.26630735
0.0008739069100000001	1657.87842	4.83688927
0.0008889487010000001	1421.96326	4.45782757
0.0009039905850000001	1207.09814	4.08918858
0.0009190323760000001	1031.53015	3.77052331
0.000934074167	878.181763	3.46578693
0.000949115958	742.516418	3.18686724
0.0009641577490000001	630.024841	2.93082118
0.00097919954	537.695557	2.71259427
0.000994241331	461.865356	2.51727009
0.0010092831199999999	404.089935	2.3540473
0.0010243249100000001	357.383026	2.2148757
0.0010393667000000001	319.638367	2.09460688
0.0010544084900000002	286.378967	1.97870052
0.00106945038	268.723663	1.91168082
0.00108449217	251.422241	1.8368113
0.00109953396	244.696411	1.80269289
0.00111457575	237.058136	1.75983918
0.00112961754	230.74472	1.72005463
0.0011446593300000001	231.515366	1.70805407
0.0011597011200000001	230.953323	1.68746901
0.0011747429100000002	233.568298	1.67972779
0.00118978471	235.309509	1.66328919
0.0012048265000000002	238.06279	1.66000414
0.0012198682900000002	235.273804	1.63571346
0.00123491017	240.143692	1.63735688
0.00124995196	242.146942	1.62461567
0.00126499375	239.562531	1.60231948
0.0012800355400000001	239.148911	1.58857191
