q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBacetic38ACNphcn90C_eiger2_12343_sub.dat_00001_[sub(TAPBacetic38ACNphcn90C_eiger2_12343_ave.h5_00001_[AN_3_30_29_RXN_90C]-TAPBacetic38ACNphcn90C_eiger2_11907_av_ave.h5_00001_[AN_3_30_29_PRM_90C])],1,0.0050)	error
0.000212067761	149597.328	261.351837
0.000227109576	128800.203	159.89325
0.00024215136700000002	116467.172	127.393829
0.000257193157	108978.578	109.847809
0.000272234972	101145.812	96.8301697
0.00028727676300000003	93549.2188	86.7433243
0.000302318553	86550.1641	78.6048889
0.00031736036800000003	80752.1875	72.0875931
0.00033240215900000005	74344.2812	65.7202759
0.000347443949	68551.25	60.6466103
0.00036248576400000005	63649.9961	56.3279152
0.00037752755500000006	58534.4883	52.0454063
0.000392569369	53586.9688	48.2113113
0.00040761116	49054.6641	44.5749817
0.000422652951	44969.0938	41.5239487
0.00043769474100000005	40926.5586	38.6049576
0.000452736579	37442.8203	36.0154495
0.00046777837000000006	34040.9766	33.5630188
0.000482820161	30752.666	31.1215725
0.000497861952	27808.9004	28.9973087
0.0005129037420000001	25028.1309	26.899601
0.0005279455330000001	22579.4277	25.0130634
0.000542987371	20261.1387	23.2665806
0.000558029162	18124.2988	21.5843296
0.0005730709530000001	16168.2363	20.0618572
0.0005881127440000001	14454.3271	18.6535301
0.000603154534	12913.1426	17.3335934
0.000618196372	11488.6953	15.9901257
0.000633238163	10194.4023	14.4488707
0.000648279954	9037.79102	13.1992331
0.0006633217450000001	7997.25635	12.1943789
0.000678363536	7039.15332	11.3092356
0.000693405326	6170.64355	10.4800844
0.0007084471640000001	5404.38525	9.700243
0.0007234889550000001	4727.13379	8.97776699
0.000738530746	4134.11426	8.29989815
0.0007535725370000001	3611.18701	7.68364334
0.000768614328	3150.50977	7.1182375
0.0007836561650000001	2755.92944	6.60185242
0.000798697956	2421.16016	6.14649487
0.000813739747	2122.28857	5.70501423
0.0008287815380000001	1863.34912	5.30776644
0.000843823329	1646.94824	4.96186638
0.0008588651200000001	1473.00232	4.65821218
0.0008739069100000001	1323.34204	4.38753653
0.0008889487010000001	1207.04248	4.1578474
0.0009039905850000001	1116.98645	3.97598219
0.0009190323760000001	1027.20862	3.78289056
0.000934074167	975.371033	3.66031814
0.000949115958	930.293823	3.54460406
0.0009641577490000001	895.658264	3.4441011
0.00097919954	870.010132	3.36621213
0.000994241331	861.21283	3.32236171
0.0010092831199999999	848.484497	3.26386762
0.0010243249100000001	849.762268	3.23947477
0.0010393667000000001	858.563354	3.2243073
0.0010544084900000002	857.305786	3.19209099
0.00106945038	863.388123	3.17586899
0.00108449217	866.390381	3.15018678
0.00109953396	871.878357	3.13573313
0.00111457575	869.741699	3.09962273
0.00112961754	872.600891	3.084548
0.0011446593300000001	868.125183	3.04974294
0.0011597011200000001	865.620667	3.02073836
0.0011747429100000002	859.185669	2.99091053
0.00118978471	851.928345	2.95183516
0.0012048265000000002	839.518921	2.91186595
0.0012198682900000002	820.807617	2.86094308
0.00123491017	797.931641	2.80214167
0.00124995196	767.725342	2.73151231
0.00126499375	747.785034	2.67867923
0.0012800355400000001	722.7995	2.6174376
0.00129507734	689.203369	2.53958321
0.0013101191300000001	655.470032	2.46165872
0.0013251609200000002	621.026978	2.38936543
0.0013402027100000002	581.868652	2.2980206
0.0013552445	548.444763	2.22611809
0.00137028629	507.699249	2.12914276
0.00138532808	477.337952	2.05589104
0.0014003699600000001	441.358582	1.97093868
0.00141541176	405.24408	1.88414907
0.0014304535500000001	369.775146	1.79324841
0.0014454953400000001	338.9245	1.71145141
0.00146053713	309.232697	1.63252127
0.00147557892	280.792908	1.5560354
0.0014906207100000002	253.324249	1.47418761
0.0015056625000000002	227.95047	1.39874709
0.00152070429	204.730026	1.32705104
0.00153574608	182.294586	1.25357127
0.00155078787	164.221268	1.1927073
0.00156582966	147.02594	1.13141119
0.00158087146	130.156769	1.06848276
0.00159591325	117.102844	1.01530826
0.00161095504	104.806511	0.964532435
0.0016259968300000001	93.839241	0.919923663
0.0016410386200000002	87.0029602	0.884866953
0.0016560806	81.7457275	0.860200822
0.0016711223899999999	75.6636276	0.827951133
0.0016861641800000001	70.9893875	0.803672791
0.00170120597	66.7088776	0.780341268
0.0017162477600000002	65.5074692	0.770318985
0.0017312895500000002	63.9097481	0.756615758
0.00174633134	61.7593079	0.742883444
0.0017613731300000002	62.0642853	0.739717424
0.00177641492	61.8843994	0.734689176
0.00179145671	60.3024826	0.720488012
0.00180649851	61.677578	0.722257316
0.0018215403000000003	62.2903023	0.721151292
0.00183658209	60.9022064	0.709164023
0.0018516238800000001	61.4618988	0.70972687
0.00186666567	61.220993	0.704753518
0.0018817074600000002	60.6518135	0.701344252
0.00189674925	61.9464989	0.716436446
0.0019117910400000002	60.2139091	0.710664868
0.00192683283	57.9214325	0.698476672
0.00195691641	55.5478376	0.398010322
0.00200204197	50.7613068	0.382125549
0.00204716735	45.0998866	0.362466895
0.00209229272	39.2734985	0.332236999
0.0021374180900000004	34.1611621	0.30771979
0.00218254346	29.8281434	0.287370918
0.00222766884	27.4859047	0.274430113
0.00227279421	26.2273032	0.264685608
0.0023179197700000003	26.2403882	0.259571716
0.00236304514	27.242672	0.258036588
0.00240817051	28.4673398	0.257935075
0.00245329589	30.2126694	0.258659119
0.00249842126	31.3661957	0.258075831
0.0025435466300000003	31.6722743	0.255150256
0.002588672	32.1039772	0.252607978
0.00264883935	29.9000362	0.187152081
0.0027240483100000002	26.9001881	0.176245392
0.00279925726	22.9019714	0.167253432
0.00287446622	19.077602	0.157561128
0.0029496751700000003	16.1097361	0.148158605
0.00302488431	14.1529672	0.141149241
0.00310009327	12.944243	0.135679336
0.0031753022200000005	12.2760788	0.132364666
0.0032505113600000005	11.64268	0.128721449
0.00332572013	10.2674332	0.122001815
0.0034009292700000002	9.06103954	0.112016942
0.0034761384100000002	7.76830864	0.104039222
0.0035513471800000004	6.56542883	0.0971790547
0.0036265563200000004	5.44686212	0.0908945147
0.0037017650899999997	4.74448052	0.0864468251
0.00377697423	4.54206696	0.0839075899
0.00385218337	4.65677862	0.0825940703
0.00394243412	4.53509399	0.0681761206
0.0040477264700000005	4.38722665	0.0660735413
0.00415301919	4.28805127	0.0643343946
0.00425831191	4.19886637	0.0626667701
0.00436360426	3.82557804	0.0600928869
0.00446889699	3.73610139	0.0585391609
0.00457418971	3.64303705	0.0570527434
0.00467948206	3.32561234	0.0548967997
0.004784774780000001	2.91041347	0.0523535958
0.0048900675	2.43125449	0.0499361418
0.0049953598500000005	2.0459867	0.0481809328
0.00510065258	1.86621996	0.0481850857
0.0052059453000000006	1.69396797	0.0474405938
0.00532627963	1.51545044	0.0410482382
0.00546165593	1.39382504	0.0401489467
0.005597031860000001	1.244788	0.0387121081
0.005732408170000001	1.19647363	0.0370459717
0.005867784470000001	1.16395654	0.03606479
0.006003160400000001	1.11945126	0.0352537275
0.00613853671	1.05485826	0.0344300775
0.0062739126400000005	0.974605772	0.0335525973
0.0064092889400000005	0.961970633	0.032886031
0.00655970722	0.971202607	0.0292483102
0.006725166740000001	0.997774622	0.0287800813
0.006890627000000001	0.960461443	0.0281874281
0.00705608651	0.909835729	0.0275568446
0.0072215460200000005	0.924803073	0.027147683
0.00738700628	0.910816567	0.0267339909
0.0075524658	0.88699978	0.0262496781
0.00771792531	0.828407006	0.0257114594
0.007898427550000002	0.763518842	0.0231706994
0.008093971010000001	0.674371073	0.0226275102
0.00828951374	0.627304536	0.0222001447
0.0084850572	0.573125009	0.0217365755
0.00868060067	0.559836555	0.0213829434
0.00887614414	0.51998314	0.0209575825
0.00907168761	0.463505062	0.0205611598
0.009282273050000001	0.448845949	0.018842705
0.00950789973	0.404573977	0.0184790169
0.00973352715	0.385804742	0.0181851506
0.009959153830000001	0.350131547	0.0178632927
0.0101847805	0.331810476	0.0176183382
0.010410407900000002	0.297997562	0.0173440488
0.010651076600000002	0.297186592	0.0160579702
0.0109067872	0.269800114	0.0157721141
0.0111624978	0.257187856	0.0157984542
0.0114182085	0.230806911	0.0159279838
0.011673919100000001	0.229749661	0.0157935052
0.011944671	0.202897395	0.0144460869
0.0122304656	0.203674304	0.0141759227
0.012516260100000003	0.192929925	0.013941465
0.012802054	0.213736557	0.013763262
0.0131028906	0.178438062	0.012822771
0.013418768300000002	0.16859264	0.012846465
0.013734646100000001	0.152709136	0.0131033088
0.0140505239	0.16326877	0.0135013734
0.014381443	0.156295953	0.0131042871
0.0147274047	0.156710229	0.0132383129
0.015073365	0.157249765	0.0133394915
0.0154193267	0.158559228	0.013454625
0.0157803297	0.168908488	0.0130183728
0.016156375400000002	0.160413971	0.0130817816
0.0165324196	0.147670371	0.0131356291
0.0169084653	0.142620554	0.0131856621
0.017299552300000003	0.137264578	0.012725737
0.017705680400000003	0.120989339	0.0130244452
0.0181118086	0.116622729	0.0135780715
0.0185329795	0.110440794	0.0135195362
0.0189691916	0.106220661	0.013926774
0.019405403700000004	0.106594442	0.014537315
0.0198566571	0.104451483	0.015672818
0.0203229532	0.0879056144	0.0171158327
0.020789249200000002	0.0839952986	0.018661293
0.021270586600000002	0.0707779338	0.0196353257
0.021766966600000003	0.0664214702	0.0219337007
0.0222633451	0.0652842552	0.0246536264
0.0227747664	0.056646462	0.0268136533
0.0233012304	0.0468966919	0.030911013
0.0238427341	0.0486295178	0.0357680803
0.024399280500000002	0.0474369721	0.04142057
0.024970869700000002	0.0344851196	0.0490294225
0.025557500100000005	0.0449508317	0.0690245898
