<X>, <Y>, <dY>
1.092504590000000e-04, 2.024062500000000e+05, 2.664783690000000e+03
1.243581760000000e-04, -5.006925000000000e+04, 1.081991460000000e+03
1.394658820000000e-04, -1.441550000000000e+04, 6.453966060000000e+02
1.545735980000000e-04, 2.460518750000000e+04, 3.652196660000000e+02
1.696813040000000e-04, 3.199745310000000e+04, 2.436139220000000e+02
1.847890210000000e-04, 3.273385940000000e+04, 1.809263760000000e+02
1.998967260000000e-04, 3.014873440000000e+04, 1.423608550000000e+02
2.150044310000000e-04, 2.608056640000000e+04, 1.157825240000000e+02
2.301121600000000e-04, 2.397406250000000e+04, 9.822567750000000e+01
2.452198650000000e-04, 2.179977730000000e+04, 8.448672490000000e+01
2.603275700000000e-04, 1.933077730000000e+04, 7.338043980000000e+01
2.754352750000000e-04, 1.725533400000000e+04, 6.460562130000000e+01
2.905429810000000e-04, 1.520561040000000e+04, 5.553499980000000e+01
3.056507090000000e-04, 1.373160350000000e+04, 4.843387600000000e+01
3.207584140000001e-04, 1.259211910000000e+04, 4.283549500000000e+01
3.358661200000000e-04, 1.136003120000000e+04, 3.867340470000000e+01
3.509738250000000e-04, 1.029878520000000e+04, 3.562959670000000e+01
3.660815540000000e-04, 9.281152340000001e+03, 3.269522090000000e+01
3.811892590000000e-04, 8.646498050000000e+03, 3.055130000000000e+01
3.962969870000000e-04, 7.922244140000000e+03, 2.842273520000000e+01
4.114046690000001e-04, 7.247977050000000e+03, 2.656109810000000e+01
4.265123980000001e-04, 6.448934080000000e+03, 2.450708390000000e+01
4.416200800000000e-04, 5.957397950000000e+03, 2.308849530000000e+01
4.567278080000000e-04, 5.457263180000000e+03, 2.163256840000000e+01
4.718355370000000e-04, 5.068904300000000e+03, 2.039917180000000e+01
4.869432190000000e-04, 4.769198240000000e+03, 1.942488290000000e+01
5.020509470000000e-04, 4.461542970000000e+03, 1.845373730000000e+01
5.171586760000000e-04, 4.140291500000000e+03, 1.743005560000000e+01
5.322663580000001e-04, 3.831955080000000e+03, 1.646660800000000e+01
5.473740860000001e-04, 3.566306880000000e+03, 1.560151390000000e+01
5.624817680000000e-04, 3.339469240000000e+03, 1.481051730000000e+01
5.775894970000000e-04, 3.185810060000000e+03, 1.426365380000000e+01
5.926972260000001e-04, 3.005037350000000e+03, 1.363636020000000e+01
6.078049070000000e-04, 2.797411380000000e+03, 1.294478420000000e+01
6.229126360000000e-04, 2.601510250000000e+03, 1.229638580000000e+01
6.380203180000000e-04, 2.473865720000000e+03, 1.181721690000000e+01
6.531280470000000e-04, 2.325840330000000e+03, 1.131377030000000e+01
6.682357750000000e-04, 2.170714600000000e+03, 1.078220750000000e+01
6.833434570000000e-04, 2.072621090000000e+03, 1.041294290000000e+01
6.984511860000000e-04, 1.932968140000000e+03, 9.931960110000000e+00
7.135589140000000e-04, 1.828235600000000e+03, 9.555894850000000e+00
7.286665960000000e-04, 1.724900270000000e+03, 9.160307880000000e+00
7.437743250000000e-04, 1.645772460000000e+03, 8.855605130000001e+00
7.588820070000001e-04, 1.524108400000000e+03, 8.437283519999999e+00
7.739897350000001e-04, 1.450184690000000e+03, 8.149136540000001e+00
7.890974170000001e-04, 1.367661990000000e+03, 7.820866110000000e+00
8.042051460000000e-04, 1.291668210000000e+03, 7.522824760000000e+00
8.193128740000000e-04, 1.225150880000000e+03, 7.252678390000000e+00
8.344206030000001e-04, 1.161817990000000e+03, 7.001845840000000e+00
8.495283310000001e-04, 1.110987790000000e+03, 6.794229980000000e+00
8.646359669999999e-04, 1.044718140000000e+03, 6.518190380000000e+00
8.797436949999999e-04, 9.921803590000000e+02, 6.297847750000000e+00
8.948514240000000e-04, 9.338342900000000e+02, 6.055756090000000e+00
9.099591520000000e-04, 8.937747190000000e+02, 5.883801460000000e+00
9.250668809999999e-04, 8.499307860000000e+02, 5.695738790000000e+00
9.401745160000001e-04, 7.919452510000000e+02, 5.439623830000000e+00
9.552822450000000e-04, 7.619548340000000e+02, 5.307228090000000e+00
9.703899730000000e-04, 7.205708620000000e+02, 5.109347820000000e+00
9.854977020000001e-04, 6.869928590000000e+02, 4.953379150000000e+00
1.000605430000000e-03, 6.482052000000000e+02, 4.794281960000000e+00
1.015713070000000e-03, 6.122662350000001e+02, 4.616896630000000e+00
1.030820790000000e-03, 5.850318600000001e+02, 4.480988030000000e+00
1.045928520000000e-03, 5.563803100000000e+02, 4.341351990000000e+00
1.061036250000000e-03, 5.326200560000000e+02, 4.214940550000000e+00
1.076143980000000e-03, 5.167709350000000e+02, 4.110861780000000e+00
1.091251710000000e-03, 4.925462040000000e+02, 3.989311460000000e+00
1.106359340000000e-03, 4.654709780000000e+02, 3.864669080000000e+00
1.121467070000000e-03, 4.465802000000000e+02, 3.756504060000000e+00
1.136574800000000e-03, 4.221817630000000e+02, 3.627124070000000e+00
1.151682530000000e-03, 4.051071470000000e+02, 3.533477540000000e+00
1.166790260000000e-03, 3.866326290000000e+02, 3.424572940000000e+00
1.181897890000000e-03, 3.731935120000000e+02, 3.354972840000000e+00
1.197005620000000e-03, 3.489551700000000e+02, 3.225792410000000e+00
1.212113350000000e-03, 3.318531190000000e+02, 3.128976580000000e+00
1.227221080000000e-03, 3.182431030000000e+02, 3.045750380000000e+00
1.242328810000000e-03, 3.026000980000000e+02, 2.954465150000000e+00
1.257436440000000e-03, 2.915847780000000e+02, 2.886696340000000e+00
1.272544170000000e-03, 2.834077150000000e+02, 2.831377030000000e+00
1.287651900000000e-03, 2.655256350000000e+02, 2.722307680000000e+00
1.302759630000000e-03, 2.532591250000000e+02, 2.647470240000000e+00
1.317867360000000e-03, 2.459997410000000e+02, 2.600760220000000e+00
1.332974990000000e-03, 2.346476900000000e+02, 2.523609640000000e+00
1.348082720000000e-03, 2.258112790000000e+02, 2.464169980000000e+00
1.363190450000000e-03, 2.181660460000000e+02, 2.411252980000000e+00
1.378298180000000e-03, 2.051294100000000e+02, 2.324124570000000e+00
