<X>, <Y>, <dY>
2.120677610000000e-04, 6.425596880000000e+04, 1.889495390000000e+02
2.271095760000000e-04, 6.555198440000000e+04, 1.201892240000000e+02
2.421513670000000e-04, 6.456376560000000e+04, 9.812551879999999e+01
2.571931570000000e-04, 6.196493750000000e+04, 8.504891200000000e+01
2.722349720000000e-04, 5.825411330000000e+04, 7.520948030000000e+01
2.872767630000000e-04, 5.497321090000000e+04, 6.792293549999999e+01
3.023185530000000e-04, 5.146894530000000e+04, 6.177077100000000e+01
3.173603680000000e-04, 4.851151560000000e+04, 5.689059830000000e+01
3.324021590000000e-04, 4.529125780000000e+04, 5.218038560000000e+01
3.474439490000000e-04, 4.267473440000000e+04, 4.867210010000000e+01
3.624857640000000e-04, 4.005961330000000e+04, 4.540160370000000e+01
3.775275550000001e-04, 3.741118750000000e+04, 4.228180690000000e+01
3.925693690000000e-04, 3.492744140000000e+04, 3.950857930000000e+01
4.076111600000000e-04, 3.269944730000000e+04, 3.691761780000000e+01
4.226529510000000e-04, 3.044233200000000e+04, 3.464636610000000e+01
4.376947410000000e-04, 2.812208790000000e+04, 3.246258930000000e+01
4.527365790000000e-04, 2.608835940000000e+04, 3.048680310000000e+01
4.677783700000001e-04, 2.427671480000000e+04, 2.874585720000000e+01
4.828201610000000e-04, 2.248016800000000e+04, 2.697853090000000e+01
4.978619520000000e-04, 2.071542970000000e+04, 2.535084530000000e+01
5.129037420000001e-04, 1.904392190000000e+04, 2.377312090000000e+01
5.279455330000001e-04, 1.758484180000000e+04, 2.236237340000000e+01
5.429873710000000e-04, 1.628191410000000e+04, 2.111638450000000e+01
5.580291620000000e-04, 1.499657710000000e+04, 1.986680790000000e+01
5.730709530000001e-04, 1.369681450000000e+04, 1.868240740000000e+01
5.881127440000001e-04, 1.257921000000000e+04, 1.760267640000000e+01
6.031545340000000e-04, 1.154788670000000e+04, 1.657542040000000e+01
6.181963720000000e-04, 1.057580660000000e+04, 1.551250460000000e+01
6.332381630000001e-04, 9.659486330000000e+03, 1.420218470000000e+01
6.482799540000000e-04, 8.883462890000001e+03, 1.322455120000000e+01
6.633217450000001e-04, 8.095030760000000e+03, 1.238875010000000e+01
6.783635360000000e-04, 7.347349120000000e+03, 1.165307240000000e+01
6.934053260000000e-04, 6.697915530000000e+03, 1.100828170000000e+01
7.084471640000001e-04, 6.075553710000000e+03, 1.035612300000000e+01
7.234889550000001e-04, 5.519930180000000e+03, 9.764195440000000e+00
7.385307460000000e-04, 5.002834470000000e+03, 9.183054920000000e+00
7.535725370000001e-04, 4.522293460000000e+03, 8.641453739999999e+00
7.686143280000000e-04, 4.096157710000000e+03, 8.148018840000001e+00
7.836561650000001e-04, 3.701786380000000e+03, 7.665509220000000e+00
7.986979560000000e-04, 3.335864500000000e+03, 7.217197420000000e+00
8.137397470000000e-04, 2.995880370000000e+03, 6.780121800000000e+00
8.287815380000001e-04, 2.695438720000000e+03, 6.373311040000000e+00
8.438233290000000e-04, 2.428657710000000e+03, 6.005603310000000e+00
8.588651200000001e-04, 2.180801270000000e+03, 5.644567490000000e+00
