<X>, <Y>, <dY>
1.092504590000000e-04, 3.241232500000000e+05, 2.764885990000000e+03
1.243581760000000e-04, -2.504000000000000e+03, 1.128914550000000e+03
1.394658820000000e-04, -1.189037500000000e+05, 6.101475830000001e+02
1.545735980000000e-04, -2.035125000000000e+03, 3.610089420000000e+02
1.696813040000000e-04, 1.305382810000000e+04, 2.360741270000000e+02
1.847890210000000e-04, 1.461239060000000e+04, 1.703859100000000e+02
1.998967260000000e-04, 1.643983200000000e+04, 1.333851320000000e+02
2.150044310000000e-04, 1.631861330000000e+04, 1.088376920000000e+02
2.301121600000000e-04, 1.547250390000000e+04, 9.147200010000000e+01
2.452198650000000e-04, 1.498136520000000e+04, 7.892905430000000e+01
2.603275700000000e-04, 1.399122950000000e+04, 6.907157140000000e+01
2.754352750000000e-04, 1.222760350000000e+04, 6.000751500000000e+01
2.905429810000000e-04, 1.091374120000000e+04, 5.163335420000000e+01
3.056507090000000e-04, 1.036578520000000e+04, 4.549535750000000e+01
3.207584140000001e-04, 9.654481449999999e+03, 4.018698880000000e+01
3.358661200000000e-04, 9.075490229999999e+03, 3.677524190000000e+01
3.509738250000000e-04, 8.356439450000000e+03, 3.395842360000000e+01
3.660815540000000e-04, 7.632286130000000e+03, 3.129267690000000e+01
3.811892590000000e-04, 6.976934080000000e+03, 2.895046040000000e+01
3.962969870000000e-04, 6.465615230000000e+03, 2.705921750000000e+01
4.114046690000001e-04, 5.931480960000000e+03, 2.517115210000000e+01
4.265123980000001e-04, 5.569109860000000e+03, 2.372255130000000e+01
4.416200800000000e-04, 5.271793460000000e+03, 2.252714350000000e+01
4.567278080000000e-04, 4.910521480000000e+03, 2.127028470000000e+01
4.718355370000000e-04, 4.515692380000000e+03, 1.998306080000000e+01
4.869432190000000e-04, 4.146934570000000e+03, 1.880147930000000e+01
5.020509470000000e-04, 3.857285160000000e+03, 1.783040810000000e+01
5.171586760000000e-04, 3.629844240000000e+03, 1.695723720000000e+01
5.322663580000001e-04, 3.397315920000000e+03, 1.605495450000000e+01
5.473740860000001e-04, 3.192689450000000e+03, 1.526059440000000e+01
5.624817680000000e-04, 3.032876950000000e+03, 1.462090970000000e+01
5.775894970000000e-04, 2.797586180000000e+03, 1.382302950000000e+01
5.926972260000001e-04, 2.653574950000000e+03, 1.326108260000000e+01
6.078049070000000e-04, 2.507335210000000e+03, 1.267932030000000e+01
6.229126360000000e-04, 2.345844240000000e+03, 1.207237630000000e+01
6.380203180000000e-04, 2.211365720000000e+03, 1.153937440000000e+01
6.531280470000000e-04, 2.096207520000000e+03, 1.107933810000000e+01
6.682357750000000e-04, 1.994736330000000e+03, 1.066710850000000e+01
6.833434570000000e-04, 1.872625610000000e+03, 1.020956710000000e+01
6.984511860000000e-04, 1.761963750000000e+03, 9.785160060000001e+00
7.135589140000000e-04, 1.656846680000000e+03, 9.359206199999999e+00
7.286665960000000e-04, 1.580608760000000e+03, 9.041193959999999e+00
7.437743250000000e-04, 1.495895750000000e+03, 8.693132400000000e+00
7.588820070000001e-04, 1.423466800000000e+03, 8.395362850000000e+00
7.739897350000001e-04, 1.339666990000000e+03, 8.047004700000000e+00
7.890974170000001e-04, 1.255272580000000e+03, 7.714240070000000e+00
8.042051460000000e-04, 1.191504520000000e+03, 7.440811630000000e+00
8.193128740000000e-04, 1.128541380000000e+03, 7.159080510000000e+00
8.344206030000001e-04, 1.081526000000000e+03, 6.946223740000000e+00
8.495283310000001e-04, 1.029169190000000e+03, 6.721889020000000e+00
8.646359669999999e-04, 9.596835940000000e+02, 6.437031750000000e+00
8.797436949999999e-04, 9.139904170000000e+02, 6.218156810000000e+00
8.948514240000000e-04, 8.804691160000000e+02, 6.049947260000000e+00
9.099591520000000e-04, 8.273930660000000e+02, 5.817805770000000e+00
9.250668809999999e-04, 7.789835210000000e+02, 5.599305150000000e+00
