<X>, <Y>, <dY>
2.092292720000000e-03, 3.987747450000000e+01, 3.343461610000000e-01
2.137418090000000e-03, 3.468906660000000e+01, 3.099492250000000e-01
2.182543460000000e-03, 3.107085290000000e+01, 2.918628960000000e-01
2.227668840000000e-03, 2.849654010000000e+01, 2.779134260000000e-01
2.272794210000000e-03, 2.765623920000000e+01, 2.696793760000000e-01
2.317919770000000e-03, 2.868576690000000e+01, 2.671337480000000e-01
2.363045140000000e-03, 2.906900400000000e+01, 2.641373630000000e-01
2.408170510000000e-03, 3.172927730000000e+01, 2.680689490000000e-01
2.453295890000000e-03, 3.217786470000000e+01, 2.645402160000000e-01
2.498421260000000e-03, 3.388967010000000e+01, 2.655129530000000e-01
2.543546630000000e-03, 3.397103630000000e+01, 2.621065550000000e-01
2.588672000000000e-03, 3.304450100000000e+01, 2.557440000000000e-01
2.648839350000000e-03, 3.145884630000000e+01, 1.911402600000000e-01
2.724048310000000e-03, 2.717155380000000e+01, 1.772080600000000e-01
2.799257260000000e-03, 2.258161620000000e+01, 1.665962390000000e-01
2.874466220000000e-03, 1.876892010000000e+01, 1.568085260000000e-01
2.949675170000000e-03, 1.548762950000000e+01, 1.465474740000000e-01
3.024884310000000e-03, 1.333573630000000e+01, 1.387168540000000e-01
3.100093270000000e-03, 1.216366980000000e+01, 1.333215920000000e-01
3.175302220000000e-03, 1.155311320000000e+01, 1.299311480000000e-01
3.250511360000000e-03, 1.068468090000000e+01, 1.257256490000000e-01
3.325720130000000e-03, 9.480220409999999e+00, 1.191100970000000e-01
3.400929270000000e-03, 8.150222780000000e+00, 1.088878950000000e-01
3.476138410000000e-03, 7.029503920000000e+00, 1.015345260000000e-01
3.551347180000000e-03, 5.640870000000000e+00, 9.378446370000000e-02
3.626556320000000e-03, 5.158433530000000e+00, 8.998901419999999e-02
3.701765090000000e-03, 4.937170500000000e+00, 8.724431710000000e-02
3.776974230000000e-03, 4.851512720000000e+00, 8.509626680000000e-02
3.852183370000000e-03, 4.916059680000000e+00, 8.372902130000000e-02
3.942434120000000e-03, 4.930808270000000e+00, 6.959989380000001e-02
4.047726470000000e-03, 4.839750220000000e+00, 6.764196290000000e-02
4.153019190000000e-03, 4.505543980000000e+00, 6.506777399999999e-02
4.258311910000000e-03, 4.298970840000000e+00, 6.295974650000000e-02
4.363604260000000e-03, 4.062724450000000e+00, 6.093273980000000e-02
4.468896990000000e-03, 3.898244070000000e+00, 5.904648980000000e-02
4.574189710000000e-03, 3.704294820000000e+00, 5.724714650000000e-02
4.679482060000000e-03, 3.139920230000000e+00, 5.433716600000000e-02
4.784774780000001e-03, 2.827746460000000e+00, 5.219524700000000e-02
4.890067500000000e-03, 2.267167360000000e+00, 4.935369110000000e-02
4.995359850000001e-03, 1.973732730000000e+00, 4.802093210000000e-02
5.100652580000000e-03, 1.771862730000000e+00, 4.790204660000000e-02
5.205945300000001e-03, 1.576503630000000e+00, 4.707574220000000e-02
5.326279630000000e-03, 1.467645660000000e+00, 4.096705690000000e-02
5.461655930000000e-03, 1.320418170000000e+00, 3.998030980000000e-02
5.597031860000001e-03, 1.230352750000000e+00, 3.872657110000000e-02
5.732408170000001e-03, 1.196951590000000e+00, 3.710780740000000e-02
5.867784470000001e-03, 1.233583330000000e+00, 3.632952170000000e-02
6.003160400000001e-03, 1.213466960000000e+00, 3.561142630000000e-02
6.138536710000000e-03, 1.079557620000000e+00, 3.457977220000000e-02
6.273912640000000e-03, 1.027236320000000e+00, 3.379109890000000e-02
6.409288940000001e-03, 9.895368620000000e-01, 3.305616780000000e-02
6.559707220000000e-03, 9.953781420000000e-01, 2.938000550000000e-02
6.725166740000001e-03, 9.333578780000000e-01, 2.865092380000000e-02
6.890627000000001e-03, 9.416476920000000e-01, 2.817393210000000e-02
7.056086510000000e-03, 9.675119840000000e-01, 2.776539680000000e-02
7.221546020000000e-03, 9.067966940000000e-01, 2.715228500000000e-02
7.387006280000000e-03, 9.138090880000000e-01, 2.678714620000000e-02
7.552465800000000e-03, 8.734626550000000e-01, 2.623760120000000e-02
7.717925310000000e-03, 8.306684600000001e-01, 2.577200490000000e-02
7.898427550000002e-03, 7.619980020000000e-01, 2.323137660000000e-02
8.093971010000001e-03, 7.110156550000000e-01, 2.274975150000000e-02
8.289513740000001e-03, 6.420303860000000e-01, 2.227041870000000e-02
8.485057200000000e-03, 6.008172310000000e-01, 2.185218210000000e-02
8.680600670000000e-03, 5.515988290000000e-01, 2.139184900000000e-02
8.876144140000000e-03, 5.274356420000000e-01, 2.101761690000000e-02
9.071687610000000e-03, 4.749628010000000e-01, 2.062291090000000e-02
9.282273050000001e-03, 4.525939110000000e-01, 1.888947940000000e-02
9.507899730000000e-03, 4.107571960000000e-01, 1.852494450000000e-02
9.733527150000001e-03, 3.724859320000000e-01, 1.818912030000000e-02
9.959153830000001e-03, 3.626336810000000e-01, 1.792065770000000e-02
1.018478050000000e-02, 3.397253890000000e-01, 1.767078170000000e-02
1.041040790000000e-02, 3.043300530000000e-01, 1.738500370000000e-02
1.065107660000000e-02, 3.006892120000000e-01, 1.609424620000000e-02
1.090678720000000e-02, 2.697448240000000e-01, 1.579870350000000e-02
1.116249780000000e-02, 2.600762210000000e-01, 1.583395980000000e-02
1.141820850000000e-02, 2.483559160000000e-01, 1.598582790000000e-02
1.167391910000000e-02, 2.272408270000000e-01, 1.581960560000000e-02
1.194467100000000e-02, 2.095655570000000e-01, 1.448364220000000e-02
1.223046560000000e-02, 2.097117930000000e-01, 1.421529840000000e-02
1.251626010000000e-02, 1.990378020000000e-01, 1.397636050000000e-02
1.280205400000000e-02, 2.185065260000000e-01, 1.380007620000000e-02
1.310289060000000e-02, 1.796245530000000e-01, 1.284932290000000e-02
1.341876830000000e-02, 1.637852260000000e-01, 1.286565140000000e-02
1.373464610000000e-02, 1.561235510000000e-01, 1.313629480000000e-02
1.405052390000000e-02, 1.548894180000000e-01, 1.351646290000000e-02
1.438144300000000e-02, 1.600428300000000e-01, 1.313646240000000e-02
1.472740470000000e-02, 1.571124750000000e-01, 1.326475420000000e-02
1.507336500000000e-02, 1.646147460000000e-01, 1.337978810000000e-02
1.541932670000000e-02, 1.648722110000000e-01, 1.349170730000000e-02
1.578032970000000e-02, 1.700230920000000e-01, 1.304589320000000e-02
1.615637540000000e-02, 1.646183060000000e-01, 1.311424530000000e-02
1.653241960000000e-02, 1.575007150000000e-01, 1.317642750000000e-02
1.690846530000000e-02, 1.433497840000000e-01, 1.321020330000000e-02
1.729955230000000e-02, 1.368254380000000e-01, 1.274642120000000e-02
1.770568040000000e-02, 1.297213200000000e-01, 1.306479590000000e-02
1.811180860000000e-02, 1.212259600000000e-01, 1.361273610000000e-02
1.853297950000000e-02, 1.123315840000000e-01, 1.354772010000000e-02
1.896919160000000e-02, 1.088985070000000e-01, 1.395901970000000e-02
1.940540370000000e-02, 1.024730040000000e-01, 1.455977400000000e-02
1.985665710000000e-02, 1.064066330000000e-01, 1.570487110000000e-02
2.032295320000000e-02, 9.729372740000000e-02, 1.717097550000000e-02
2.078924920000000e-02, 8.016090670000001e-02, 1.868505510000000e-02
2.127058660000000e-02, 7.306820840000000e-02, 1.967763490000000e-02
2.176696660000000e-02, 7.388429530000000e-02, 2.199193400000000e-02
2.226334510000000e-02, 5.875423600000000e-02, 2.468127540000000e-02
2.277476640000000e-02, 5.047248330000000e-02, 2.683316060000000e-02
2.330123040000000e-02, 4.850028690000000e-02, 3.096723150000000e-02
2.384273410000000e-02, 5.290813290000000e-02, 3.585508350000000e-02
2.439928050000000e-02, 3.287074290000000e-02, 4.141423810000000e-02
2.497086970000000e-02, 5.395289270000000e-02, 4.925230370000000e-02
2.555750010000001e-02, 4.202358950000000e-02, 6.908794660000001e-02
