<X>, <Y>, <dY>
8.438233290000000e-04, 1.682711060000000e+03, 5.020057680000000e+00
8.588651200000001e-04, 1.501403810000000e+03, 4.699939730000000e+00
8.739069100000001e-04, 1.360941040000000e+03, 4.449762820000000e+00
8.889487010000001e-04, 1.231196040000000e+03, 4.196869850000000e+00
9.039905850000001e-04, 1.138337650000000e+03, 4.010591030000000e+00
9.190323760000001e-04, 1.063607060000000e+03, 3.851914640000000e+00
9.340741670000000e-04, 9.956826780000000e+02, 3.691979410000000e+00
9.491159580000000e-04, 9.463352660000000e+02, 3.576919560000000e+00
9.641577490000001e-04, 9.120835570000000e+02, 3.477367640000000e+00
9.791995400000001e-04, 8.977104490000000e+02, 3.418837310000000e+00
9.942413310000001e-04, 8.828464970000000e+02, 3.360033510000000e+00
1.009283120000000e-03, 8.669725340000000e+02, 3.298211810000000e+00
1.024324910000000e-03, 8.743464360000000e+02, 3.285494090000000e+00
1.039366700000000e-03, 8.783447270000000e+02, 3.258358240000000e+00
1.054408490000000e-03, 8.823010250000000e+02, 3.240115640000000e+00
1.069450380000000e-03, 8.780946040000000e+02, 3.201090340000000e+00
1.084492170000000e-03, 8.787537230000000e+02, 3.175634380000000e+00
1.099533960000000e-03, 8.823191530000000e+02, 3.153132920000000e+00
1.114575750000000e-03, 8.901235349999999e+02, 3.137360570000000e+00
1.129617540000000e-03, 8.875435179999999e+02, 3.108372210000000e+00
1.144659330000000e-03, 8.802121580000000e+02, 3.070404770000000e+00
1.159701120000000e-03, 8.746822510000000e+02, 3.038025860000000e+00
1.174742910000000e-03, 8.630606080000000e+02, 2.995879410000000e+00
1.189784710000000e-03, 8.555518800000000e+02, 2.962967400000000e+00
1.204826500000000e-03, 8.391054080000000e+02, 2.915163760000000e+00
1.219868290000000e-03, 8.181516110000000e+02, 2.859760280000000e+00
1.234910170000000e-03, 7.898261720000000e+02, 2.790242670000000e+00
1.249951960000000e-03, 7.714596560000000e+02, 2.741605280000000e+00
1.264993750000000e-03, 7.438122560000000e+02, 2.671890260000000e+00
1.280035540000000e-03, 7.131972050000001e+02, 2.604658840000000e+00
1.295077340000000e-03, 6.816640010000000e+02, 2.530094390000000e+00
1.310119130000000e-03, 6.499739380000000e+02, 2.456152200000000e+00
1.325160920000000e-03, 6.115867919999999e+02, 2.372795580000000e+00
1.340202710000000e-03, 5.792316280000000e+02, 2.297933100000000e+00
1.355244500000000e-03, 5.415616460000000e+02, 2.210243700000000e+00
1.370286290000000e-03, 5.089079900000000e+02, 2.133568530000000e+00
1.385328080000000e-03, 4.685197140000000e+02, 2.037554030000000e+00
1.400369960000000e-03, 4.339924930000000e+02, 1.958553550000000e+00
1.415411760000000e-03, 4.008562620000000e+02, 1.875596880000000e+00
1.430453550000000e-03, 3.668626710000000e+02, 1.787992720000000e+00
1.445495340000000e-03, 3.349175720000000e+02, 1.703365800000000e+00
1.460537130000000e-03, 3.041400150000000e+02, 1.622977500000000e+00
1.475578920000000e-03, 2.726779480000000e+02, 1.535097840000000e+00
1.490620710000000e-03, 2.455887450000000e+02, 1.454003330000000e+00
1.505662500000000e-03, 2.211091160000000e+02, 1.382592080000000e+00
1.520704290000000e-03, 1.978180850000000e+02, 1.308969020000000e+00
1.535746080000000e-03, 1.777462770000000e+02, 1.242730260000000e+00
1.550787870000000e-03, 1.613999630000000e+02, 1.185776350000000e+00
1.565829660000000e-03, 1.438762210000000e+02, 1.121376990000000e+00
1.580871460000000e-03, 1.290175170000000e+02, 1.067072750000000e+00
1.595913250000000e-03, 1.124876860000000e+02, 9.974851610000000e-01
1.610955040000000e-03, 1.048266450000000e+02, 9.680419560000000e-01
1.625996830000000e-03, 9.547320560000000e+01, 9.256965520000000e-01
1.641038620000000e-03, 8.821354680000000e+01, 8.910504580000000e-01
1.656080600000000e-03, 8.144156649999999e+01, 8.594103460000000e-01
1.671122390000000e-03, 7.600433350000000e+01, 8.307957050000000e-01
1.686164180000000e-03, 7.194185640000001e+01, 8.082679510000000e-01
1.701205970000000e-03, 6.872369380000001e+01, 7.896325590000000e-01
1.716247760000000e-03, 6.689565279999999e+01, 7.763492470000000e-01
1.731289550000000e-03, 6.655972290000000e+01, 7.704207900000000e-01
1.746331340000000e-03, 6.427209470000000e+01, 7.536357050000000e-01
1.761373130000000e-03, 6.366275790000000e+01, 7.456425430000000e-01
1.776414920000000e-03, 6.452722930000000e+01, 7.475335600000000e-01
1.791456710000000e-03, 6.454409029999999e+01, 7.420979740000000e-01
1.806498510000000e-03, 6.343828200000000e+01, 7.304049730000000e-01
1.821540300000000e-03, 6.354439160000000e+01, 7.246542570000000e-01
1.836582090000000e-03, 6.605820470000000e+01, 7.339628340000000e-01
1.851623880000000e-03, 6.497892760000001e+01, 7.238283750000000e-01
1.866665670000000e-03, 6.423374939999999e+01, 7.165580990000000e-01
1.881707460000000e-03, 6.362397380000000e+01, 7.169250250000000e-01
1.896749250000000e-03, 6.316009900000000e+01, 7.233424780000000e-01
1.911791040000000e-03, 6.191711040000000e+01, 7.186517720000000e-01
1.926832830000000e-03, 6.039512630000000e+01, 7.115213870000000e-01
1.956916410000000e-03, 5.776060360000000e+01, 4.036227990000000e-01
2.002041970000000e-03, 5.290014900000000e+01, 3.884257960000000e-01
2.047167350000000e-03, 4.752660370000000e+01, 3.692084630000000e-01
2.092292720000000e-03, 4.084537760000000e+01, 3.372004840000000e-01
2.137418090000000e-03, 3.549178570000000e+01, 3.126042220000000e-01
2.182543460000000e-03, 3.109687740000000e+01, 2.918610530000000e-01
2.227668840000000e-03, 2.831795760000000e+01, 2.773535300000000e-01
2.272794210000000e-03, 2.800171720000000e+01, 2.709263660000000e-01
2.317919770000000e-03, 2.809032310000000e+01, 2.658358000000000e-01
2.363045140000000e-03, 2.908365890000000e+01, 2.644867270000000e-01
2.408170510000000e-03, 3.084765880000000e+01, 2.654949490000000e-01
2.453295890000000e-03, 3.195246500000000e+01, 2.640366070000000e-01
2.498421260000000e-03, 3.286269760000000e+01, 2.624021400000000e-01
2.543546630000000e-03, 3.367461140000000e+01, 2.614621200000000e-01
2.588672000000000e-03, 3.325489810000000e+01, 2.559917470000000e-01
2.648839350000000e-03, 3.138866420000000e+01, 1.909400280000000e-01
2.724048310000000e-03, 2.811480450000000e+01, 1.794705500000000e-01
2.799257260000000e-03, 2.347352680000000e+01, 1.690334330000000e-01
2.874466220000000e-03, 1.990308460000000e+01, 1.601278310000000e-01
2.949675170000000e-03, 1.639007200000000e+01, 1.492552740000000e-01
3.024884310000000e-03, 1.422897550000000e+01, 1.414902780000000e-01
3.100093270000000e-03, 1.336517580000000e+01, 1.373777060000000e-01
3.175302220000000e-03, 1.227571770000000e+01, 1.324546060000000e-01
3.250511360000000e-03, 1.144327950000000e+01, 1.282628920000000e-01
3.325720130000000e-03, 1.061552960000000e+01, 1.232180670000000e-01
3.400929270000000e-03, 9.226731870000000e+00, 1.128613050000000e-01
3.476138410000000e-03, 7.709964560000000e+00, 1.038858730000000e-01
3.551347180000000e-03, 6.372296430000000e+00, 9.651719050000000e-02
3.626556320000000e-03, 5.597606090000000e+00, 9.148615670000000e-02
3.701765090000000e-03, 5.094671920000000e+00, 8.784126759999999e-02
3.776974230000000e-03, 4.999344350000000e+00, 8.569576800000001e-02
3.852183370000000e-03, 5.064481540000000e+00, 8.424260200000000e-02
3.942434120000000e-03, 4.892060550000000e+00, 6.942103590000000e-02
4.047726470000000e-03, 4.959671840000000e+00, 6.808229280000000e-02
4.153019190000000e-03, 4.500150540000000e+00, 6.507916240000000e-02
4.258311910000000e-03, 4.371772020000000e+00, 6.312858300000000e-02
4.363604260000000e-03, 4.114649300000000e+00, 6.106417060000000e-02
4.468896990000000e-03, 3.986272610000000e+00, 5.936017040000000e-02
4.574189710000000e-03, 3.738800660000000e+00, 5.740133420000000e-02
4.679482060000000e-03, 3.377562320000000e+00, 5.503744880000000e-02
4.784774780000001e-03, 2.955060990000000e+00, 5.262541340000000e-02
4.890067500000000e-03, 2.552452330000000e+00, 5.037375510000000e-02
4.995359850000001e-03, 2.170809300000000e+00, 4.877795840000000e-02
5.100652580000000e-03, 1.820618820000000e+00, 4.801768750000000e-02
5.205945300000001e-03, 1.725637660000000e+00, 4.764184520000000e-02
5.326279630000000e-03, 1.566983450000000e+00, 4.128189700000000e-02
5.461655930000000e-03, 1.406970570000000e+00, 4.025547820000000e-02
5.597031860000001e-03, 1.292125370000000e+00, 3.889838620000000e-02
5.732408170000001e-03, 1.253815600000000e+00, 3.728639760000000e-02
5.867784470000001e-03, 1.249656080000000e+00, 3.636540250000000e-02
6.003160400000001e-03, 1.163657050000000e+00, 3.544875070000000e-02
6.138536710000000e-03, 1.102797240000000e+00, 3.465309660000000e-02
6.273912640000000e-03, 1.081697160000000e+00, 3.398278120000000e-02
6.409288940000001e-03, 1.042417000000000e+00, 3.320251670000000e-02
6.559707220000000e-03, 9.956434530000000e-01, 2.937875300000000e-02
6.725166740000001e-03, 1.013589100000000e+00, 2.886546230000000e-02
6.890627000000001e-03, 9.654193690000000e-01, 2.823392790000000e-02
7.056086510000000e-03, 9.694696510000000e-01, 2.776900920000000e-02
7.221546020000000e-03, 9.345876520000000e-01, 2.723603880000000e-02
7.387006280000000e-03, 9.407073640000000e-01, 2.682952150000000e-02
7.552465800000000e-03, 8.692937760000000e-01, 2.625207050000000e-02
7.717925310000000e-03, 8.520458720000000e-01, 2.583354790000000e-02
7.898427550000002e-03, 7.581801600000000e-01, 2.322034310000000e-02
8.093971010000001e-03, 7.141422170000000e-01, 2.276533080000000e-02
8.289513740000001e-03, 6.770581050000000e-01, 2.235056170000000e-02
8.485057200000000e-03, 6.089351589999999e-01, 2.186770230000000e-02
8.680600670000000e-03, 5.664445940000000e-01, 2.142539410000000e-02
8.876144140000000e-03, 5.241005989999999e-01, 2.101376650000000e-02
9.071687610000000e-03, 5.025331310000000e-01, 2.068794710000000e-02
9.282273050000001e-03, 4.650660530000000e-01, 1.891592070000000e-02
9.507899730000000e-03, 4.113208490000000e-01, 1.852414910000000e-02
9.733527150000001e-03, 3.965559050000000e-01, 1.824214580000000e-02
9.959153830000001e-03, 3.625522770000000e-01, 1.791689840000000e-02
1.018478050000000e-02, 3.344932560000000e-01, 1.765153210000000e-02
1.041040790000000e-02, 3.090290450000000e-01, 1.739395680000000e-02
1.065107660000000e-02, 3.015848680000000e-01, 1.609933810000000e-02
1.090678720000000e-02, 2.749360800000000e-01, 1.580884260000000e-02
1.116249780000000e-02, 2.521463030000000e-01, 1.581949030000000e-02
1.141820850000000e-02, 2.354524490000000e-01, 1.596183410000000e-02
1.167391910000000e-02, 2.390369850000000e-01, 1.584302730000000e-02
1.194467100000000e-02, 2.146180140000000e-01, 1.449327850000000e-02
1.223046560000000e-02, 2.021281450000000e-01, 1.420147710000000e-02
1.251626010000000e-02, 2.020600870000000e-01, 1.398213630000000e-02
1.280205400000000e-02, 2.203103420000000e-01, 1.379612900000000e-02
1.310289060000000e-02, 1.804044830000000e-01, 1.285039080000000e-02
1.341876830000000e-02, 1.729604790000000e-01, 1.288027240000000e-02
1.373464610000000e-02, 1.623577010000000e-01, 1.314727300000000e-02
1.405052390000000e-02, 1.547814000000000e-01, 1.351515910000000e-02
1.438144300000000e-02, 1.560095950000000e-01, 1.312829800000000e-02
1.472740470000000e-02, 1.483469270000000e-01, 1.324844790000000e-02
1.507336500000000e-02, 1.581625450000000e-01, 1.336767270000000e-02
1.541932670000000e-02, 1.593664140000000e-01, 1.347846470000000e-02
1.578032970000000e-02, 1.764920370000000e-01, 1.305730380000000e-02
1.615637540000000e-02, 1.636226350000000e-01, 1.311186340000000e-02
1.653241960000000e-02, 1.591207150000000e-01, 1.317866460000000e-02
1.690846530000000e-02, 1.483030330000000e-01, 1.321913460000000e-02
1.729955230000000e-02, 1.326010270000000e-01, 1.274103830000000e-02
1.770568040000000e-02, 1.226151200000000e-01, 1.304902910000000e-02
1.811180860000000e-02, 1.201884170000000e-01, 1.360799790000000e-02
1.853297950000000e-02, 1.097783690000000e-01, 1.354221150000000e-02
1.896919160000000e-02, 1.057772870000000e-01, 1.395279810000000e-02
1.940540370000000e-02, 1.047565240000000e-01, 1.456009470000000e-02
1.985665710000000e-02, 1.031947050000000e-01, 1.569859710000000e-02
2.032295320000000e-02, 9.083892809999999e-02, 1.715469230000000e-02
2.078924920000000e-02, 8.421643930000000e-02, 1.869013340000000e-02
2.127058660000000e-02, 7.369115160000000e-02, 1.967759850000000e-02
2.176696660000000e-02, 7.220486210000000e-02, 2.198854580000000e-02
2.226334510000000e-02, 6.399978900000000e-02, 2.469958000000000e-02
2.277476640000000e-02, 7.024192360000001e-02, 2.690679280000000e-02
2.330123040000000e-02, 6.050854190000000e-02, 3.101522090000000e-02
2.384273410000000e-02, 5.225460550000000e-02, 3.584871950000000e-02
2.439928050000000e-02, 4.775564900000000e-02, 4.149546150000000e-02
2.497086970000000e-02, 4.959221360000000e-02, 4.922337920000000e-02
2.555750010000001e-02, 5.101613760000000e-02, 6.917974870000000e-02
