<X>, <Y>
9.491159580000000e-04, 1.194244741244260e+03
9.641577490000001e-04, 1.039129241632322e+03
9.791995400000001e-04, 9.033784216453619e+02
9.942413310000001e-04, 7.850345975871703e+02
1.009283120000000e-03, 6.822843838537754e+02
1.024324910000000e-03, 5.934532134375463e+02
1.039366700000000e-03, 5.169995957701412e+02
1.054408490000000e-03, 4.515089892813193e+02
1.069450380000000e-03, 3.956871768063367e+02
1.084492170000000e-03, 3.483552733060425e+02
1.099533960000000e-03, 3.084410465408044e+02
1.114575750000000e-03, 2.749739974423376e+02
1.129617540000000e-03, 2.470785545255644e+02
1.144659330000000e-03, 2.239677668711583e+02
1.159701120000000e-03, 2.049371297141682e+02
1.174742910000000e-03, 1.893585743546687e+02
1.189784710000000e-03, 1.766746433811619e+02
1.204826500000000e-03, 1.663929239943071e+02
1.219868290000000e-03, 1.580806411018418e+02
1.234910170000000e-03, 1.513595606258749e+02
1.249951960000000e-03, 1.459013114429393e+02
1.264993750000000e-03, 1.414226126175849e+02
1.280035540000000e-03, 1.376811961940797e+02
1.295077340000000e-03, 1.344718026344881e+02
1.310119130000000e-03, 1.316225105103326e+02
1.325160920000000e-03, 1.289913124683900e+02
1.340202710000000e-03, 1.264629638591532e+02
1.355244500000000e-03, 1.239460538918351e+02
1.370286290000000e-03, 1.213702944600644e+02
1.385328080000000e-03, 1.186840070612923e+02
1.400369960000000e-03, 1.158517749939070e+02
1.415411760000000e-03, 1.128523494502617e+02
1.430453550000000e-03, 1.096765551897619e+02
1.445495340000000e-03, 1.063254962068737e+02
1.460537130000000e-03, 1.028088439647380e+02
1.475578920000000e-03, 9.914327354767184e+01
1.490620710000000e-03, 9.535103867277061e+01
1.505662500000000e-03, 9.145867907320914e+01
1.520704290000000e-03, 8.749585498771931e+01
1.535746080000000e-03, 8.349430255524452e+01
1.550787870000000e-03, 7.948690301481619e+01
1.565829660000000e-03, 7.550685796983821e+01
1.580871460000000e-03, 7.158696016654824e+01
1.595913250000000e-03, 6.775896760344682e+01
1.610955040000000e-03, 6.405303491284914e+01
1.625996830000000e-03, 6.049724821788750e+01
1.641038620000000e-03, 5.711721938874652e+01
