<X>, <Y>
1.604913920000000e-03, 1.208772964477539e+02
1.620021460000000e-03, 1.168080368041992e+02
1.635129190000000e-03, 1.129311676025391e+02
1.650236920000000e-03, 1.092365875244141e+02
1.665344650000000e-03, 1.057143554687500e+02
1.680452380000000e-03, 1.023548965454102e+02
1.695560110000000e-03, 9.914937591552734e+01
1.710667830000000e-03, 9.608921813964844e+01
1.725775560000000e-03, 9.316620635986328e+01
1.740883290000000e-03, 9.037257385253906e+01
1.755991020000000e-03, 8.770050811767578e+01
1.771098560000000e-03, 8.514366149902344e+01
1.786206290000000e-03, 8.269507598876953e+01
1.801314020000000e-03, 8.034877014160156e+01
1.816421750000000e-03, 7.809865570068359e+01
1.831529480000000e-03, 7.593958282470703e+01
1.846637200000000e-03, 7.386611175537109e+01
1.861744930000000e-03, 7.187335968017578e+01
1.876852660000000e-03, 6.995675659179688e+01
1.891960390000000e-03, 6.811175537109375e+01
1.907068120000000e-03, 6.633441162109375e+01
1.922175850000000e-03, 6.462065124511719e+01
1.937283390000000e-03, 6.296702194213867e+01
1.967498850000000e-03, 5.982606506347656e+01
2.012822030000000e-03, 5.548581695556641e+01
2.058145220000000e-03, 5.153022003173828e+01
2.103468220000000e-03, 4.790442276000977e+01
2.148791400000000e-03, 4.456471633911133e+01
2.194114590000000e-03, 4.147679519653320e+01
2.239437770000000e-03, 3.861409378051758e+01
2.284760770000000e-03, 3.595645904541016e+01
2.330083960000000e-03, 3.348809051513672e+01
2.375407140000000e-03, 3.119641876220703e+01
2.420730140000000e-03, 2.907114410400391e+01
2.466053330000000e-03, 2.710315322875977e+01
2.511376520000000e-03, 2.528321266174316e+01
2.556699700000000e-03, 2.360283851623535e+01
2.602022700000000e-03, 2.205411148071289e+01
2.662453610000000e-03, 2.017934036254883e+01
2.737992070000000e-03, 1.811078262329102e+01
2.813530710000000e-03, 1.631044578552246e+01
2.889069170000000e-03, 1.474062061309814e+01
2.964607810000000e-03, 1.336490154266357e+01
3.040146270000000e-03, 1.215372085571289e+01
3.115684910000000e-03, 1.108175659179688e+01
3.191223370000000e-03, 1.012791156768799e+01
3.266762200000000e-03, 9.276218414306641e+00
3.342300650000000e-03, 8.513100624084473e+00
3.417839110000000e-03, 7.827284336090088e+00
3.493377570000001e-03, 7.209161281585693e+00
3.568916400000000e-03, 6.650449752807617e+00
3.644454850000000e-03, 6.143592357635498e+00
3.719993310000000e-03, 5.682276725769043e+00
3.795531760000000e-03, 5.261466979980469e+00
3.871070590000001e-03, 4.876664161682129e+00
3.961716590000000e-03, 4.457882404327393e+00
4.067470880000000e-03, 4.023003578186035e+00
4.173224790000000e-03, 3.639853239059448e+00
4.278978710000000e-03, 3.302934885025024e+00
4.384732620000001e-03, 3.005728483200073e+00
4.490486530000000e-03, 2.742832899093628e+00
4.596240450000000e-03, 2.508365392684937e+00
4.701994730000001e-03, 2.298731327056885e+00
4.807748650000001e-03, 2.110040664672852e+00
4.913502560000001e-03, 1.939604282379150e+00
5.019256470000000e-03, 1.782503843307495e+00
5.125010390000000e-03, 1.637294769287109e+00
5.230764300000000e-03, 1.516291022300720e+00
5.351626130000000e-03, 1.432882905006409e+00
5.487595500000000e-03, 1.244333624839783e+00
5.623564870000000e-03, 1.141339421272278e+00
5.759534240000000e-03, 1.072607755661011e+00
5.895503610000000e-03, 9.620039463043213e-01
6.031472980000001e-03, 8.815742731094360e-01
6.167442350000000e-03, 8.130933046340942e-01
6.303411720000001e-03, 7.498394250869751e-01
6.439381090000001e-03, 6.920600533485413e-01
6.590458750000000e-03, 6.345565319061279e-01
6.756643210000001e-03, 5.787486433982849e-01
6.922828410000000e-03, 5.296490788459778e-01
7.089012860000000e-03, 4.860143959522247e-01
7.255197320000000e-03, 4.469509720802307e-01
7.421382520000000e-03, 4.120791256427765e-01
7.587566970000000e-03, 3.811359405517578e-01
7.753752170000000e-03, 3.534886837005615e-01
7.935044909999999e-03, 3.263938128948212e-01
8.131445200000000e-03, 3.003030717372894e-01
8.327845480000000e-03, 2.772212326526642e-01
8.524245020000000e-03, 2.567048370838165e-01
8.720645310000000e-03, 2.386445850133896e-01
8.917045590000000e-03, 2.222086340188980e-01
9.113445879999999e-03, 2.076495140790939e-01
9.324953710000000e-03, 1.936638057231903e-01
